Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,10pF,C32949
"C10, C13, C5, C7, C8, C9",0402,6,100nF,C1525
"C11, C12",0402,2,10uF,C15525
"C3, C4",0402,2,20pF,C1554
D1,D_SOD-323,1,1N5819WS,C191023
D3,SOT-23,1,"BAT54C,215",C37704
FB1,0603,1,FerriteBead,C1002
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0,C2765186
LED1,0603,1,19-217/GHC-YR1S2/3T,C72043
LED2,0603,1,KT-0603R,C2286
"R1, R2, R4, R5",0402,4,10kΩ,C25744
"R3, R6",0402,2,5.1kΩ,C25905
R7,0402,1,1.5kΩ,C25867
"SW1, SW2",SW_SPST_TL3342,2,SW_Push,C318884
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8T6,C8734
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
XTAL1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768KHz,C32346
XTAL2,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz,C115962
